Rank,Name,Ticker,Industry,Sector,Returns,Volatility,P/E Ratio
1,Toshiba Corp,TSE,Specialty Industrial Machinery,Industrials,1.8118810441468098,2.0650861806648244,8.54
2,Alacrity Securities Ltd,ALACR,Capital Markets,Financial Services,1.246181510470342,1.0257904397017543,8.33
3,SinterCast AB,SINT,Specialty Industrial Machinery,Industrials,1.0083334181043837,2.527234047999792,24.75
4,SNDL Inc,SNDL,Drug Manufacturers - Specialty & Generic,Healthcare,0.8421052026176269,1.1547894775554723,3.54
5,Greenlane Holdings Inc,GNLN,Tobacco,Consumer Defensive,0.6181230222927551,1.047746364376533,0.05
6,Oportun Financial Corp,OPRT,Credit Services,Financial Services,0.504424759555913,1.233791892049375,2.41
7,Kontoor Brands Inc,KTB,Apparel Manufacturing,Consumer Cyclical,0.476466749232357,3.73378743283893,10.36
8,Bain Capital Specialty Finance Inc,BCSF,Asset Management,Financial Services,0.42571782146979165,1.5983109109135638,9.44
9,Essential Properties Realty Trust Inc,EPRT,REIT - Diversified,Real Estate,0.3961218829247208,1.3848931339685389,23.58
10,Resideo Technologies Inc,REZI,Security & Protection Services,Industrials,0.39328533248928205,1.2330655032723699,7.75
11,Synchronoss Technologies Inc,SNCR,Software - Infrastructure,Technology,0.3842856543404715,1.6921849775672544,11.49
12,Levi Strauss & Co,LEVI,Apparel Manufacturing,Consumer Cyclical,0.3492958122323558,1.148601293061287,11.68
13,Tilray Brands Inc,TLRY,Drug Manufacturers - Specialty & Generic,Healthcare,0.33898304536814533,1.2754785410231357,8.52
14,China SXT Pharmaceuticals Inc,SXTC,Drug Manufacturers - Specialty & Generic,Healthcare,0.3159041037863626,1.2955297522683071,5.73
15,SpringWorks Therapeutics Inc,SWTX,Biotechnology,Healthcare,0.31157528242123406,1.3492000702768543,21.10
16,Amphastar Pharmaceuticals Inc,AMPH,Drug Manufacturers - Specialty & Generic,Healthcare,0.3031522806184466,1.6234722790697986,19.38
17,Xeris Biopharma Holdings Inc,XERS,Biotechnology,Healthcare,0.2954545362182885,1.2454554570408065,20.08
18,Bank7 Corp,BSVN,Banks - Regional,Financial Services,0.2877697920701773,1.4817151191055635,8.98
19,Battalion Oil Corp,BATL,Oil & Gas E&P,Energy,0.2866972389270158,1.453468286344773,3.37
20,Lyft Inc,LYFT,Software - Application,Technology,0.27404257591734543,1.1419496189183316,0.85
21,Cranswick PLC,CWK,Packaged Foods,Consumer Defensive,0.2725470721915379,1.2262147546695346,16.67
22,Loma Negra Cia Industria Argentina SA,LOMA,Building Materials,Basic Materials,0.2713781099724683,2.385057264878667,11.33
23,Vista Energy SAB de CV,VIST,Oil & Gas E&P,Energy,0.2684211137222129,1.214146009033949,6.52
24,BRP Inc,BRP,Recreational Vehicles,Consumer Cyclical,0.26702705589500636,1.3430189859175952,12.12
25,Neovasc Inc,NVCN,Medical Devices,Healthcare,0.25,2.045210448325136,0.05
26,Schneider Electric SE,SND,Specialty Industrial Machinery,Industrials,0.24315869163041548,1.5553377778427497,24.94
27,Legacy Housing Corp,LEGH,Residential Construction,Consumer Cyclical,0.2418604455166994,1.4157717849826494,7.73
28,Puma Biotechnology Inc,PBYI,Biotechnology,Healthcare,0.22859832882531586,1.9147683822722485,20.70
29,InMode Ltd,INMD,Medical Devices,Healthcare,0.22238957270124515,1.7212828391967174,18.55
30,Gentex Corp,GTX,Auto Parts,Consumer Cyclical,0.2140351417285565,1.1448701383837108,21.05
31,WH Group Ltd,WH,Packaged Foods,Consumer Defensive,0.21146310410972857,1.2630114679274342,6.66
32,Exagen Inc,XGN,Diagnostics & Research,Healthcare,0.2101248731355239,1.1869716800212178,0.56
33,Uxin Ltd,UXIN,Auto & Truck Dealerships,Consumer Cyclical,0.20833329194122055,1.1810938705994163,0.48
34,Livent Corp,LTHM,Specialty Chemicals,Basic Materials,0.1987704441483972,1.1992194534631073,19.31
35,Inter Cars SA,CARS,Auto Parts,Consumer Cyclical,0.19743588771732298,2.154330807080505,19.61
36,EuroDry Ltd,EDRY,Marine Shipping,Industrials,0.19512200227881646,1.8169443444168747,1.12
37,CLPS Inc,CLPS,Information Technology Services,Technology,0.19337025089275248,1.280377095407641,5.81
38,Camber Energy Inc,CEI,Oil & Gas E&P,Energy,0.1891891891891892,3.0831526530791424,0.04
39,Amerant Bancorp Inc,AMTB,Banks - Regional,Financial Services,0.1866969276259924,1.5050704326632802,8.93
40,Magenta Therapeutics Inc,MGTA,Biotechnology,Healthcare,0.1850079507082705,1.1728424221985807,3.29
41,iHeartMedia Inc,IHRT,Broadcasting,Communication Services,0.1845425943430568,1.4406481887443072,14.53
42,U.S. Xpress Enterprises Inc,USX,Trucking,Industrials,0.17857149492168414,1.1587180352060888,14.66
43,Hudson Technologies Inc,HDSN,Specialty Chemicals,Basic Materials,0.17624523242752235,1.648097592470119,4.66
44,Arcadia Biosciences Inc,RKDA,Agricultural Inputs,Basic Materials,0.1760924642385929,1.7276714801453708,2.03
45,Satsuma Pharmaceuticals Inc,STSA,Biotechnology,Healthcare,0.17551526706871495,2.3369879947596055,2.97
46,Grupo Financiero Galicia SA,GGAL,Banks - Regional,Financial Services,0.17234429909210716,1.599558037349088,9.89
47,Rimini Street Inc,RMNI,Software - Application,Technology,0.16105416060322483,1.5179208912462065,5.08
48,Cumulus Media Inc,CMLS,Broadcasting,Communication Services,0.1515789031982422,1.4742412989259315,4.16
49,The9 Ltd,NCTY,Electronic Gaming & Multimedia,Communication Services,0.14705876939024537,1.935385288827986,0.97
50,Viomi Technology Co Ltd,VIOT,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.14541389840637173,1.3996379544435047,8.21
51,XTL Biopharmaceuticals Ltd,XTLB,Biotechnology,Healthcare,0.14285706800044815,1.8178887851185843,5.10
52,Borqs Technologies Inc,BRQS,Software - Application,Technology,0.14093962652576694,1.8313504167199408,1.80
53,Running Fox Resource Corp,FOX,Other Industrial Metals & Mining,Basic Materials,0.14073729525853396,1.1828867829600094,3.53
54,DEMIRE Deutsche Mittelstand Real Estate AG,DT,Real Estate Services,Real Estate,0.1389875265161263,1.2050964630628598,4.53
55,Westport Fuel Systems Inc,WPRT,Auto Parts,Consumer Cyclical,0.13671880893525798,2.2415797228978462,11.07
56,Domo Inc,DOMO,Software - Application,Technology,0.13651140751590457,2.1269923867349916,6.37
57,OneWater Marine Inc,ONEW,Recreational Vehicles,Consumer Cyclical,0.13636366451222964,1.56133999174432,3.24
58,Tricida Inc,TCDA,Biotechnology,Healthcare,0.13599997127757368,1.2365239923186702,2.46
59,Baudax Bio Inc,BXRX,Biotechnology,Healthcare,0.13537115630722285,1.1674176425605716,0.01
60,Next PLC,NEXT,Apparel Retail,Consumer Cyclical,0.13532405676391818,2.2367294145522565,10.15
61,Castor Maritime Inc,CTRM,Marine Shipping,Industrials,0.13531355829594846,1.3389327868939076,1.08
62,First Horizon Corp,FHN,Banks - Regional,Financial Services,0.13458956930565127,1.9908144693794192,16.58
63,Alector Inc,ALEC,Biotechnology,Healthcare,0.13168719937129883,1.1367813109632032,14.33
64,Revolve Group Inc,RVLV,Internet Retail,Consumer Cyclical,0.13038123628799933,1.08691571890677,21.28
65,Altimmune Inc,ALT,Biotechnology,Healthcare,0.12994348117819318,2.4537634099240773,3.54
66,Red River Bancshares Inc,RRBI,Banks - Regional,Financial Services,0.12906000993422162,1.7202294084412209,9.99
67,Repay Holdings Corp,RPAY,Software - Infrastructure,Technology,0.12786404508898952,2.5872650596258717,15.97
68,Atreca Inc,BCEL,Biotechnology,Healthcare,0.12223016912960959,1.212374022081746,4.47
69,Fox Corp,FOXA,Entertainment,Communication Services,0.11772601355429875,1.3820775280305548,15.87
70,Mirvac Group,MGR,REIT - Diversified,Real Estate,0.11576009970352283,1.7826493944351485,9.35
71,Plastiques du Val-de-Loire,PVL,Auto Parts,Consumer Cyclical,0.11538456365671967,1.9136466798498568,9.51
72,M&T Bank Corp,MTB,Banks - Regional,Financial Services,0.11516796208256205,2.1115127130701943,14.29
73,Qurate Retail Inc,QRTEA,Internet Retail,Consumer Cyclical,0.11489549167583528,1.8667828651345044,5.24
74,MediClin AG,MED,Medical Care Facilities,Healthcare,0.11260009265213346,1.8823612597423722,15.27
75,Capital Bancorp Inc,CBNK,Banks - Regional,Financial Services,0.11207644971335914,1.4992184978307366,7.66
76,Amplify Energy Corp,AMPY,Oil & Gas E&P,Energy,0.11093750430736685,2.2871447661943143,5.27
77,Thorn Group Ltd,TGA,Rental & Leasing Services,Industrials,0.10994760345946612,1.7080913411466883,2.90
78,Exelixis Inc,EXEL,Biotechnology,Healthcare,0.10946298621538113,1.4498279426097496,18.18
79,Steel Authority Of India Ltd,SAIL,Steel,Basic Materials,0.10872362395905241,1.7734816221976974,8.07
80,Richmond Mutual Bancorp Inc,RMBI,Banks - Regional,Financial Services,0.10471203979348308,1.4848312526183398,11.70
81,Telecom Argentina SA,TEO,Telecom Services,Communication Services,0.10360356567645491,1.998654331407223,6.23
82,Qurate Retail Inc,QRTEB,Internet Retail,Consumer Cyclical,0.10334074013280584,1.7004337337120141,15.06
83,Grupo Supervielle SA,SUPV,Banks - Regional,Financial Services,0.10263785853694013,1.9612066216685955,17.51
84,Smart Powerr Corp,CREG,Utilities - Renewable,Utilities,0.09999997764825855,1.6769833739524551,1.61
85,Dow Inc,DOW,Chemicals,Basic Materials,0.09763311021681419,1.1602015946317583,7.12
86,Synaptics Inc,SYNA,Semiconductors,Technology,0.097330469021199,1.7186162628329547,14.43
87,Alico Inc,ALCO,Farm Products,Consumer Defensive,0.09227934746800177,1.8399808165567186,14.88
88,Raymond James Financial Inc,RJF,Capital Markets,Financial Services,0.09189559216190304,1.8504293744560651,15.77
89,MediaCo Holding Inc,MDIA,Broadcasting,Communication Services,0.09090909090909091,2.035619869977751,3.69
90,Salarius Pharmaceuticals Inc,SLRX,Biotechnology,Healthcare,0.08970976253298153,2.9339872435962837,1.62
91,News Corp,NWSA,Entertainment,Communication Services,0.08761527648010516,1.6574632266642415,24.04
92,PREOS Global Office Real Estate & Technology AG,PAG,Real Estate Services,Real Estate,0.08718932007287152,1.8212376057545536,6.97
93,Omer SpA,OMER,Tools & Accessories,Industrials,0.08695650429280503,1.8809476166349919,7.58
94,OSG Corp,OSG,Tools & Accessories,Industrials,0.08536584568052041,1.6758958027586237,11.82
95,Ralph Lauren Corp,RL,Apparel Manufacturing,Consumer Cyclical,0.0847921980181461,1.7595515664241266,16.05
96,Rhinebeck Bancorp Inc,RBKB,Banks - Regional,Financial Services,0.0839936948675923,2.1153010648578534,11.05
97,Resource Mining Corp Ltd,RMI,Other Industrial Metals & Mining,Basic Materials,0.08147776273799487,1.7835456341201834,10.12
98,Valhi Inc,VHI,Chemicals,Basic Materials,0.07983195830813632,1.8769442454025955,4.51
